harvest_year,plot,sub_plot,fertilizer_code,cultivar,grain,straw
1852,2,*,FYM,old red cluster,1.92,3.88
1852,3,*,Nil,old red cluster,0.97,1.78
1852,5,*,PKNaMg,old red cluster,1.18,2.21
1852,6,*,N1PKNaMg,old red cluster,1.45,2.91
1852,7,*,N2PKNaMg,old red cluster,1.83,4.28
1852,8,*,N3PKNaMg,old red cluster,1.88,4.25
1852,9,a,N1*,old red cluster,1.78,4.16
1852,9,b,N2*,old red cluster,1.69,3.78
1852,10,*,N2,old red cluster,1.5,3.14
1852,11,*,N2P,old red cluster,1.6,3.36
1852,12,*,N2PNa*,old red cluster,1.68,3.64
1852,13,*,N2PK,old red cluster,1.66,3.65
1852,14,*,N2PMg*,old red cluster,1.71,4.01
1852,15,a,N2PKNaMg,old red cluster,1.63,3.6
1852,15,b,N1.5PKNaMg + rape cake,old red cluster,1.7,3.83
1852,16,*,N4PKNaMg,old red cluster,1.96,5.21
1852,17,*,N2,old red cluster,1.74,4.04
1852,18,*,PKNaMg,old red cluster,1,1.94
1852,19,*,N1.5P + rape cake,old red cluster,1.77,3.81
1853,2,*,FYM,red rostock,1.26,3.78
1853,3,*,Nil,red rostock,0.45,1.73
1853,5,*,PKNaMg,red rostock,0.67,2.29
1853,6,*,N1PKNaMg,red rostock,1.15,3.13
1853,7,*,N2PKNaMg,red rostock,1.53,4.19
1853,8,*,N3PKNaMg,red rostock,1.56,4.43
1853,9,a,N1*,red rostock,0.77,2.69
1853,9,b,N2*,red rostock,0.73,2.53
1853,10,*,N2,red rostock,0.86,2.66
1853,11,*,N2P,red rostock,1.17,2.93
1853,12,*,N2PNa*,red rostock,1.49,4.13
1853,13,*,N2PK,red rostock,1.53,4.27
1853,14,*,N2PMg*,red rostock,1.5,4.06
1853,15,a,N2PKNaMg,red rostock,1.28,3.77
1853,15,b,N1.5PKNaMg + rape cake,red rostock,1.51,4.21
1853,16,*,N4PKNaMg,red rostock,1.7,5.57
1853,17,*,PKNaMg,red rostock,0.59,2.25
1853,18,*,N2,red rostock,1.33,4.03
1853,19,*,N1.5P + rape cake,red rostock,1.3,3.6
1854,2,*,FYM,red rostock,3,4.99
1854,3,*,Nil,red rostock,1.62,2.51
1854,5,*,PKNaMg,red rostock,1.75,2.82
1854,6,*,N1PKNaMg,red rostock,2.48,4.43
1854,7,*,N2PKNaMg,red rostock,3.31,6.22
1854,8,*,N3PKNaMg,red rostock,3.52,6.87
1854,9,a,N1*,red rostock,2.75,4.64
1854,9,b,N2*,red rostock,2.78,4.76
1854,10,*,N2,red rostock,2.66,4.52
1854,11,*,N2P,red rostock,3.15,5.7
1854,12,*,N2PNa*,red rostock,3.31,6.16
1854,13,*,N2PK,red rostock,3.24,6.14
1854,14,*,N2PMg*,red rostock,3.26,6.15
1854,15,a,N2PKNaMg,red rostock,3.14,5.49
1854,15,b,N1.5PKNaMg + rape cake,red rostock,3.15,5.91
1854,16,*,N4PKNaMg,red rostock,3.66,7.48
1854,17,*,N2,red rostock,3.18,5.7
1854,18,*,PKNaMg,red rostock,1.7,2.69
1854,19,*,N1.5P + rape cake,red rostock,2.99,5.24
1855,2,*,FYM,red rostock,2.51,4.31
1855,3,*,Nil,red rostock,1.26,2.03
1855,5,*,PKNaMg,red rostock,1.29,2.03
1855,6,*,N1PKNaMg,red rostock,2,3.29
1855,7,*,N2PKNaMg,red rostock,2.37,4.52
1855,8,*,N3PKNaMg,red rostock,2.28,4.59
1855,9,a,N2*PKNaMg,red rostock,2.17,4.42
1855,9,b,N2*,red rostock,1.8,3.6
1855,10,*,N2,red rostock,1.73,3.24
1855,11,*,N2P,red rostock,1.57,3.16
1855,12,*,N2PNa*,red rostock,2.3,4.24
1855,13,*,N2PK,red rostock,2.27,4.14
1855,14,*,N2PMg*,red rostock,2.31,4.25
1855,15,a,N2PKNaMg,red rostock,2.28,4.29
1855,15,b,N1.5PKNaMg + rape cake,red rostock,2.46,4.73
1855,16,*,N4PKNaMg,red rostock,2.36,5.34
1855,17,*,PKNaMg,red rostock,1.31,2.12
1855,18,*,N2,red rostock,2.41,4.62
1855,19,*,N1.5P + rape cake,red rostock,2.21,4.32
1856,2,*,FYM,red rostock,2.55,4.84
1856,3,*,Nil,red rostock,1.08,1.85
1856,5,*,PKNaMg,red rostock,1.36,2.32
1856,6,*,N1PKNaMg,red rostock,1.95,3.45
1856,7,*,N2PKNaMg,red rostock,2.56,5.02
1856,8,*,N3PKNaMg,red rostock,2.75,5.76
1856,9,a,N2*PKNaMg,red rostock,2.26,4.34
1856,9,b,N2*,red rostock,1.88,3.53
1856,10,*,N2,red rostock,1.82,3.36
1856,11,*,N2P,red rostock,2.21,3.9
1856,12,*,N2PNa*,red rostock,2.35,4.25
1856,13,*,N2PK,red rostock,2.27,4.15
1856,14,*,N2PMg*,red rostock,2.44,4.67
1856,15,a,N2PKNaMg,red rostock,2.16,3.95
1856,15,b,N1.5PKNaMg + rape cake,red rostock,2.29,4.21
1856,16,*,N4PKNaMg,red rostock,2.74,6.17
1856,17,*,N2,red rostock,2.2,3.94
1856,18,*,PKNaMg,red rostock,1.28,2.22
1856,19,*,N1.5P + rape cake,red rostock,2.31,3.99
1857,2,*,FYM,red rostock,2.9,3.73
1857,3,*,Nil,red rostock,1.47,1.76
1857,5,*,PKNaMg,red rostock,1.64,1.88
1857,6,*,N1PKNaMg,red rostock,2.47,3.09
1857,7,*,N2PKNaMg,red rostock,3.19,4.25
1857,8,*,N3PKNaMg,red rostock,3.47,4.91
1857,9,a,N2*PKNaMg,red rostock,3.1,4.33
1857,9,b,N2*,red rostock,2.49,3.34
1857,10,*,N2,red rostock,2.25,2.95
1857,11,*,N2P,red rostock,2.71,3.29
1857,12,*,N2PNa*,red rostock,3.07,4.06
1857,13,*,N2PK,red rostock,3.06,4.13
1857,14,*,N2PMg*,red rostock,3.08,4.1
1857,15,a,N2PKNaMg,red rostock,3.01,4.13
1857,15,b,N1.5PKNaMg + rape cake,red rostock,3.1,4.24
